region,population,date
Berlin,3395189,31.12.2005
Berlin,3404037,31.12.2006
Berlin,3416255,31.12.2007
Berlin,3431675,31.12.2008
Berlin,3442675,31.12.2009
Berlin,3460725,31.12.2010
Berlin,3326002,31.12.2011
Berlin,3375222,31.12.2012
Berlin,3421829,31.12.2013
Berlin,3469849,31.12.2014
Berlin,3520031,31.12.2015
Berlin,3574830,31.12.2016
Berlin,3613495,31.12.2017
Berlin,3644826,31.12.2018
Mitte,322744,31.12.2005
Mitte,326422,31.12.2006
Mitte,328428,31.12.2007
Mitte,329592,31.12.2008
Mitte,333437,31.12.2009
Mitte,333199,31.12.2010
Mitte,322260,31.12.2011
Mitte,329969,31.12.2012
Mitte,337593,31.12.2013
Friedrichshain-Kreuzberg,261811,31.12.2005
Friedrichshain-Kreuzberg,265857,31.12.2006
Friedrichshain-Kreuzberg,267919,31.12.2007
Friedrichshain-Kreuzberg,270572,31.12.2008
Friedrichshain-Kreuzberg,268839,31.12.2009
Friedrichshain-Kreuzberg,270158,31.12.2010
Friedrichshain-Kreuzberg,254695,31.12.2011
Friedrichshain-Kreuzberg,259483,31.12.2012
Friedrichshain-Kreuzberg,263526,31.12.2013
Pankow,353910,31.12.2005
Pankow,358210,31.12.2006
Pankow,363601,31.12.2007
Pankow,366899,31.12.2008
Pankow,365697,31.12.2009
Pankow,370938,31.12.2010
Pankow,358505,31.12.2011
Pankow,364794,31.12.2012
Pankow,371438,31.12.2013
Charlottenburg-Wilmersdorf,315080,31.12.2005
Charlottenburg-Wilmersdorf,315557,31.12.2006
Charlottenburg-Wilmersdorf,316887,31.12.2007
Charlottenburg-Wilmersdorf,318208,31.12.2008
Charlottenburg-Wilmersdorf,320087,31.12.2009
Charlottenburg-Wilmersdorf,320458,31.12.2010
Charlottenburg-Wilmersdorf,293527,31.12.2011
Charlottenburg-Wilmersdorf,298567,31.12.2012
Charlottenburg-Wilmersdorf,302313,31.12.2013
Spandau,225042,31.12.2005
Spandau,224304,31.12.2006
Spandau,223652,31.12.2007
Spandau,223813,31.12.2008
Spandau,223724,31.12.2009
Spandau,226240,31.12.2010
Spandau,216105,31.12.2011
Spandau,218935,31.12.2012
Spandau,222300,31.12.2013
Steglitz-Zehlendorf,288670,31.12.2005
Steglitz-Zehlendorf,288575,31.12.2006
Steglitz-Zehlendorf,290305,31.12.2007
Steglitz-Zehlendorf,291871,31.12.2008
Steglitz-Zehlendorf,293725,31.12.2009
Steglitz-Zehlendorf,295737,31.12.2010
Steglitz-Zehlendorf,278936,31.12.2011
Steglitz-Zehlendorf,281604,31.12.2012
Steglitz-Zehlendorf,284313,31.12.2013
Tempelhof-Schöneberg,333163,31.12.2005
Tempelhof-Schöneberg,332066,31.12.2006
Tempelhof-Schöneberg,331790,31.12.2007
Tempelhof-Schöneberg,333110,31.12.2008
Tempelhof-Schöneberg,334993,31.12.2009
Tempelhof-Schöneberg,336144,31.12.2010
Tempelhof-Schöneberg,319274,31.12.2011
Tempelhof-Schöneberg,320917,31.12.2012
Tempelhof-Schöneberg,324208,31.12.2013
Neukölln,305900,31.12.2005
Neukölln,305458,31.12.2006
Neukölln,306713,31.12.2007
Neukölln,309892,31.12.2008
Neukölln,312367,31.12.2009
Neukölln,312158,31.12.2010
Neukölln,303045,31.12.2011
Neukölln,308342,31.12.2012
Neukölln,311943,31.12.2013
Treptow-Köpenick,235336,31.12.2005
Treptow-Köpenick,236524,31.12.2006
Treptow-Köpenick,237777,31.12.2007
Treptow-Köpenick,239405,31.12.2008
Treptow-Köpenick,241052,31.12.2009
Treptow-Köpenick,242583,31.12.2010
Treptow-Köpenick,239472,31.12.2011
Treptow-Köpenick,242000,31.12.2012
Treptow-Köpenick,244016,31.12.2013
Marzahn-Hellersdorf,250413,31.12.2005
Marzahn-Hellersdorf,249881,31.12.2006
Marzahn-Hellersdorf,249351,31.12.2007
Marzahn-Hellersdorf,248150,31.12.2008
Marzahn-Hellersdorf,248026,31.12.2009
Marzahn-Hellersdorf,249982,31.12.2010
Marzahn-Hellersdorf,245929,31.12.2011
Marzahn-Hellersdorf,248786,31.12.2012
Marzahn-Hellersdorf,251007,31.12.2013
Lichtenberg,258894,31.12.2005
Lichtenberg,258738,31.12.2006
Lichtenberg,258098,31.12.2007
Lichtenberg,258869,31.12.2008
Lichtenberg,259663,31.12.2009
Lichtenberg,261617,31.12.2010
Lichtenberg,254188,31.12.2011
Lichtenberg,258586,31.12.2012
Lichtenberg,262760,31.12.2013
Reinickendorf,244226,31.12.2005
Reinickendorf,242445,31.12.2006
Reinickendorf,241734,31.12.2007
Reinickendorf,241294,31.12.2008
Reinickendorf,241065,31.12.2009
Reinickendorf,241511,31.12.2010
Reinickendorf,240066,31.12.2011
Reinickendorf,243239,31.12.2012
Reinickendorf,246412,31.12.2013
