price,area,rooms,fee,zipcode,construction_year,level,price_per_area
249000,64,3,3.57,13505,1971,2,3891
1295000,136,4,3.57,10405,1900,5,9518
770000,120,4,3.57,12161,1900,5,6417
349000,158,5,3.57,12103,1956,1,2209
494990,126,4,3.57,12157,1909,3,3928
207500,34,1,3.57,10715,1898,1,6099
560000,89,3,3.57,13507,2015,4,6292
788000,69,2,3.57,10317,2024,1,11494
247000,31,1,3.57,10317,2024,1,7917
990000,130,5,3.57,14059,1956,1,7615
370000,59,2,3.57,10715,1956,1,6271
185000,29,1,3.57,12203,1969,3,6412
398000,77,2,3.57,14129,1978,1,5174
271100,78,3,3.57,12487,1930,1,3459
995000,156,5,3.57,12159,1896,3,6398
269000,64,2,3.57,12527,1998,3,4183
599000,188,6,3.57,12249,1956,1,3186
444900,67,3,3.57,10707,1962,1,6657
449000,124,3,3.57,13503,1913,1,3621
399900,70,2,3.57,10247,1900,1,5713
699000,101,4,3.57,12683,2021,1,6946
850000,95,3,3.57,10179,1956,1,8947
259000,83,3,3.57,12277,1956,1,3120
339900,61,2,3.57,13357,1995,1,5597
890000,65,2,3.57,10405,1956,1,13692
439900,90,3,3.57,13359,1956,1,4888
1999000,186,5,3.57,10711,2019,9,10747
695000,103,3,3.57,10245,1901,3,6725
839000,114,3,3.57,12205,2017,2,7369
239000,71,2,3.57,13158,1956,1,3366
645000,84,3,3.57,10249,1956,1,7679
469000,63,2,3.57,13086,1956,2,7442
509000,74,3,3.57,13086,1956,1,6842
1398000,189,6,3.57,13086,1956,1,7396
630000,122,3,3.57,14167,1956,1,5164
499000,108,4,3.57,12524,1956,1,4620
349000,86,3,3.57,13583,1966,2,4058
335000,82,3,3.57,12489,1956,1,4085
298000,58,2,3.57,12053,1956,1,5095
189435,22,1,3.57,13088,2024,24,8650
196470,22,2,3.57,13088,2024,24,8850
238000,35,1,3.57,10559,1956,1,6800
695000,94,4,3.57,14169,2001,1,7394
260000,32,3,3.57,13088,2024,24,8254
330000,88,3,3.57,14193,1900,2,3750
225000,41,1,3.57,13357,1956,1,5488
999900,152,5,3.57,10247,1918,1,6578
1001000,84,3,3.57,10719,1956,1,11941
750000,86,3,4.76,10435,1904,1,8754
679970,100,3,3.57,12349,1983,1,6787
299000,45,2,3.57,12459,2010,1,6644
342000,62,2,3.57,12207,1970,1,5516
439000,97,4,3.57,12685,1956,1,4526
419000,86,3,3.57,13439,1956,1,4872
885000,132,3,3.57,14055,2003,1,6705
1580000,331,7,3.57,10555,1910,5,4773
1390000,118,4,3.57,10405,1956,1,11780
465000,66,3,3.57,10625,1956,1,7045
220000,96,4,3.57,13439,1956,1,2292
270000,68,3,3.57,12159,1956,1,3971
467000,66,3,3.57,10777,1956,1,7076
459000,90,3,3.57,12683,1956,1,5100
458000,77,3,3.57,12105,1973,1,5981
448000,77,3,3.57,12105,1973,1,5850
275000,43,1,3.57,12105,1973,1,6332
345000,57,2,3.57,12105,1994,1,6078
1439000,129,3,3.57,10245,1900,1,11140
2499000,202,4,3.57,10245,1900,1,12380
439000,57,2,3.57,10245,1900,1,7684
499000,51,2,3.57,10245,1900,4,9706
880040,63,2,3.57,10997,2022,1,14000
549000,62,2,3.57,10247,2015,1,8855
394000,100,3,3.57,10365,1900,3,3938
165000,38,1,3.57,14195,1970,1,4342
919000,111,4,3.57,10711,1911,2,8285
499000,62,2,3.57,10711,1911,2,8038
439000,62,2,3.57,10711,1911,1,7121
208000,42,1,3.57,13403,1956,3,4906
359000,90,3,3.57,10315,1920,1,3984
486048,101,4,17.3,10713,1985,2,4800
395000,62,2,3.57,10435,1895,2,6355
598000,91,3,3.57,10439,1956,3,6589
595000,112,4,3.57,12555,2016,1,5310
620000,96,3,3.57,10439,1908,3,6475
499000,71,2,3.57,10439,1956,2,7043
418000,57,2,3.57,10439,1956,1,7398
290000,69,2,3.57,12351,1992,1,4200
385000,80,3,3.57,10713,1985,2,4805
498000,74,2,3.57,10717,1900,4,6730
269000,42,1,3.57,10717,1900,4,6405
325000,69,2,3.57,13351,1956,3,4742
629000,83,3,3.57,10709,1912,1,7578
320000,50,2,3.57,13351,1956,1,6343
165000,38,1,3.57,14195,1970,1,4342
319062,77,3,3.57,10247,1900,2,4117
148461,36,1,3.57,10247,1900,1,4114
268000,43,1,3.57,12105,1973,3,6171
2864800,253,5,3.57,10557,2023,3,11334
498000,74,3,3.57,10117,1972,4,6749
359000,61,3,3.57,10369,1956,4,5854
799000,100,4,3.57,13585,1956,3,8018
229000,52,2,3.57,10319,1964,1,4440
1799000,147,3,3.57,14199,2022,1,12280
528000,74,2,2.98,12435,1900,1,7145
470000,94,3,3.57,12109,1978,1,5024
229000,54,2,3.57,12055,1905,1,4239
305000,64,2,3.57,13351,1956,2,4785
229000,41,1,3.57,10713,1960,3,5552
450000,108,3,3.57,12169,1909,3,4161
888000,122,4,3.57,10439,1956,1,7288
520000,123,4,3.57,12557,1997,1,4236
260000,47,2,3.57,14193,1958,1,5532
399000,59,2,3.57,12105,2022,3,6724
479000,106,5,3.57,10178,1966,5,4506
169000,41,1,3.57,10779,1961,1,4122
255000,73,2,3.57,12559,1978,3,3493
597000,58,2,3.57,10781,1956,1,10293
4390000,303,5,3.57,10777,1956,1,14509
510000,67,2,3.57,10587,1905,1,7657
629000,90,4,3.57,10629,1908,1,6989
297000,75,3,3.57,13591,1995,1,3960
515400,90,3,3.57,10715,1898,2,5750
320000,71,3,2.97,12203,1967,1,4539
396000,54,2,3.57,13189,1930,1,7333
480000,55,2,3.57,10249,1958,1,8727
498000,66,3,3.57,14167,1938,5,7545
250000,64,2,3.57,10551,1956,1,3906
359000,64,3,3.57,14089,1956,1,5609
399000,85,3,3.57,10407,1901,1,4694
229585,62,2,3.57,10245,1910,1,3700
426000,96,4,3.57,12057,1939,4,4438
629000,54,2,3.57,10317,2024,1,11742
288000,31,1,3.57,10317,2024,1,9234
259000,30,1,3.57,10317,2024,1,8680
210000,39,2,3.57,13585,1957,1,5385
2346000,235,6,3.57,10439,2012,1,9998
410000,63,2,3.57,10117,1998,2,6508
815000,104,3,3.57,10439,1910,1,7837
840000,143,3,3.57,10823,1900,1,5874
369000,52,2,3.57,10243,1956,1,7096
575000,85,3,3.57,13088,2016,3,6805
199900,63,2,3.57,14165,1962,1,3182
295000,38,3,3.57,10777,1910,1,7668
389900,65,2,3.57,12159,1900,1,5998
880000,123,4,3.57,12161,1905,1,7154
219000,60,2,3.57,13409,1968,1,3650
1880000,172,3,3.57,14057,1900,1,10930
198000,53,2,3.57,13403,1956,1,3736
1024000,105,4,3.57,10585,1956,1,9752
450000,80,3,3.57,12209,1992,1,5598
699000,96,5,3.57,14163,1984,1,7281
980000,133,4,3.57,12159,2023,4,7346
234800,39,1,3.57,10715,1898,1,6021
349990,78,2,3.57,13088,1912,1,4495
239990,42,1,3.57,10715,1898,1,5715
499900,111,3,3.57,13088,1912,1,4504
475000,65,2,3.57,10719,1900,1,7308
339000,63,2,3.57,14193,1909,1,5381
250000,40,1,3.57,14057,1900,2,6329
360000,94,3,3.57,13595,1956,1,3830
399000,68,3,3.57,14059,1906,4,5837
593000,71,3,3.57,10117,1992,2,8352
195000,30,1,3.57,10585,1974,1,6408
510000,76,2,3.57,10249,1956,1,6711
290000,55,2,3.57,10247,1956,1,5273
405000,55,2,3.57,10627,1956,1,7364
450000,100,3,3.57,13585,1956,1,4500
430000,76,2,3.57,12167,1973,1,5658
499000,87,3,3.57,12555,2016,1,5769
315000,60,3,3.57,14129,1932,2,5250
325000,67,3,3.57,12105,1956,1,4851
215000,52,2,3.57,10825,1954,1,4135
370000,60,2,3.57,10715,1931,4,6167
375000,64,3,3.57,12055,1926,1,5844
790000,101,3,3.57,10585,1956,1,7822
449000,65,2,3.57,10717,1900,1,6896
449000,95,3,3.57,13581,1956,1,4726
260126,63,2,8.96,10245,1010,4,4143
447000,75,2,2.5,10317,2019,1,5990
740000,111,4,3.57,14195,1967,1,6667
369900,60,2,3.57,13357,1995,5,6204
363350,58,2,3.57,12161,1910,2,6262
324890,63,2,3.57,13357,1995,1,5157
210000,35,1,3.57,14193,1958,3,6000
301000,51,2,3.57,10439,1956,1,5902
205000,45,2,3.57,12105,1956,1,4556
459000,70,3,3.57,14199,1956,1,6557
890000,92,2,3.57,10717,1956,1,9674
479000,60,1,3.57,10711,1956,1,7983
899000,142,4,3.57,14193,1956,1,6331
335000,69,3,3.57,12277,1933,1,4826
335000,70,3,3.57,12277,1956,1,4808
335000,70,3,3.57,12277,1956,1,4808
299000,54,2,3.57,12587,2015,2,5571
390000,88,3,3.57,10317,1956,1,4432
265000,60,2,3.57,13585,1956,1,4417
330000,66,2,3.57,13407,1961,4,5000
379000,116,3,3.57,13595,1956,4,3267
249000,71,3,3.57,12279,1970,1,3489
390000,51,2,3.57,10965,1900,3,7647
350000,38,1,3.57,14193,1974,1,9211
999000,135,4,3.57,13086,1956,2,7379
311000,50,2,3.57,12203,1956,1,6220
599950,73,2,2.8,10179,2011,5,8215
420000,65,2,3.57,10243,1956,1,6462
220000,53,2,3.57,12489,1956,1,4151
335000,82,3,3.57,12489,1956,1,4085
215000,53,2,3.57,13509,1954,1,4034
205000,49,3,3.57,13055,1956,1,4219
410000,68,2,3.57,14050,1956,1,6029
345000,57,2,3.57,14193,1953,1,6053
575329,97,4,3.57,14195,1956,1,5911
399000,85,3,3.57,10779,1974,1,4721
326766,71,3,3.57,10777,1960,5,4599
316464,69,3,3.57,10777,1960,2,4599
327501,71,3,3.57,10777,1960,3,4599
313900,68,3,3.57,10777,1960,1,4606
309749,67,3,3.57,10777,1960,1,4599
534628,107,3,3.57,14165,1950,3,4983
278029,56,3,3.57,14165,1950,1,4983
243045,49,2,3.57,14165,1950,1,4983
278477,56,3,3.57,14165,1950,1,4983
275387,55,3,3.57,14165,1950,1,4983
278477,56,3,3.57,14165,1950,2,4983
279025,56,3,3.57,14165,1950,1,4983
274789,55,3,3.57,14165,1950,1,4983
343995,77,3,3.57,14165,1950,3,4486
249428,56,3,3.57,14165,1950,1,4486
250100,56,3,3.57,14165,1950,2,4486
250100,56,3,3.57,14165,1956,1,4486
237640,71,3,3.57,13507,1929,1,3328
160000,48,3,3.57,13507,1929,4,3340
244962,74,3,3.57,13507,1929,1,3328
247682,69,2,3.57,10439,1925,2,3611
211607,59,1,3.57,10439,1925,1,3611
233996,65,2,3.57,10439,1925,1,3611
199900,47,3,3.57,13407,1936,1,4267
185499,61,3,3.57,10369,1974,3,3025
185499,61,3,3.57,10369,1974,2,3025
303584,95,3,3.57,13629,1922,1,3179
186894,58,2,3.57,13595,1956,1,3222
182221,57,2,3.57,13595,1965,1,3222
132114,41,1,3.57,13595,1956,2,3222
228783,71,2,3.57,13595,1956,2,3222
110543,29,1,3.57,12099,1958,1,3824
255462,67,3,3.57,12099,1958,1,3824
205830,54,1,3.57,12099,1958,1,3824
110543,29,1,3.57,12099,1958,1,3824
255462,67,3,3.57,12099,1958,1,3824
273983,66,2,3.57,10439,1930,3,4171
294549,71,3,3.57,10439,1930,1,4171
281367,67,3,3.57,10439,1930,3,4171
207239,50,2,3.57,10439,1930,1,4171
237124,55,2,3.57,10439,1900,3,4345
286396,62,2,3.57,12347,1991,1,4600
185612,66,2,3.57,12249,1953,1,2811
216238,65,2,3.57,14193,1956,3,3339
223472,59,2,3.57,14193,1950,1,3763
276637,83,3,3.57,13403,1933,1,3347
196451,63,3,3.57,13403,1962,1,3107
208164,67,3,3.57,13403,1962,2,3107
172279,55,2,3.57,13403,1962,2,3107
170819,55,2,3.57,13403,1962,1,3107
172823,53,2,3.57,13407,1963,1,3239
238150,74,3,3.57,13407,1963,1,3239
246000,76,3,3.57,14165,1962,1,3238
188000,58,2,3.57,14165,1962,1,3231
1225000,186,6,3.57,10629,1912,3,6575
210000,57,2,3.57,12249,1965,1,3684
415000,58,2,3.57,14052,1954,1,7155
239000,64,2,3.57,13589,1964,4,3706
