,price,area,rooms,fee,zipcode,construction_year,level,price_per_area,clusters
2110,15900000.0,546.0,9.0,3.57,10407.0,1875.0,1.0,29120.879120879123,2
3718,1650000.0,72.74,3.0,3.57,14193.0,1995.0,1.0,22683.53038218312,1
3959,4150000.0,191.4,3.0,2.38,10117.0,2015.0,4.0,21682.340647857887,2
4487,9900000.0,462.0,10.0,3.57,10117.0,2009.0,1.0,21428.571428571428,2
2232,6900000.0,326.9,9.0,3.57,10719.0,2022.0,5.0,21107.37228510248,2
781,2495000.0,123.9,3.0,3.57,10707.0,2020.0,1.0,20137.20742534302,1
4685,7796000.0,399.6,4.0,3.57,10117.0,2014.0,1.0,19509.50950950951,2
664,1487525.0,78.76,2.0,3.57,10625.0,2021.0,1.0,18886.808024377857,1
726,1487500.0,79.0,2.0,3.57,10625.0,2021.0,5.0,18829.113924050635,1
3828,4100000.0,222.0,4.0,3.57,10119.0,1884.0,1.0,18468.46846846847,2
3171,2052000.0,113.5,3.0,3.57,10117.0,2019.0,5.0,18079.295154185023,1
3172,1712000.0,94.75,3.0,3.57,10117.0,2019.0,6.0,18068.601583113457,1
3422,4750000.0,272.0,4.0,3.57,14193.0,2012.0,2.0,17463.235294117647,2
4582,5200000.0,300.0,5.0,2.2,10717.0,2023.0,1.0,17333.333333333332,2
3336,3750000.0,222.0,4.0,3.57,10119.0,2019.0,1.0,16891.891891891893,2
2114,3750000.0,222.0,4.0,3.57,10119.0,2020.0,1.0,16891.891891891893,2
3734,2590000.0,155.0,4.0,3.57,10707.0,1909.0,1.0,16709.677419354837,1
3965,2480000.0,152.0,3.0,3.57,14195.0,2014.0,1.0,16315.78947368421,1
1908,3200000.0,201.0,5.0,3.57,10719.0,1899.0,1.0,15920.39800995025,2
4722,2498000.0,160.0,3.0,3.57,10997.0,1889.0,1.0,15612.5,1
2097,7000000.0,450.0,10.0,3.57,10719.0,1899.0,1.0,15555.555555555557,2
2673,3983500.0,257.0,3.0,3.57,10999.0,1956.0,1.0,15500.0,2
4884,1416700.0,91.4,3.0,3.57,10178.0,1956.0,3.0,15499.999999999998,1
3920,2589000.0,167.88,4.0,3.57,10435.0,1884.0,1.0,15421.729807005004,1
2062,1549000.0,101.0,3.0,3.57,10243.0,2022.0,1.0,15336.633663366336,1
3319,1549000.0,101.0,3.0,3.57,10587.0,2022.0,1.0,15336.633663366336,1
2689,1549000.0,101.0,3.0,3.57,12587.0,2022.0,1.0,15336.633663366336,1
1942,3800000.0,249.0,5.0,3.57,10719.0,1899.0,1.0,15261.044176706828,2
4532,2575000.0,170.0,5.0,2.38,10785.0,2011.0,1.0,15147.058823529413,1
2080,2942550.0,196.17,5.0,3.57,10707.0,1977.0,1.0,15000.000000000002,1
2079,3041850.0,202.79,6.0,3.57,10707.0,1977.0,1.0,15000.0,1
2578,2733852.0,183.48,4.0,3.57,10997.0,2022.0,1.0,14900.0,1
1429,3495000.0,235.0,6.0,3.75,10117.0,2015.0,3.0,14872.340425531916,2
2790,6690000.0,451.0,8.0,3.57,10787.0,1956.0,1.0,14833.70288248337,2
2490,2950000.0,199.0,4.0,3.57,10117.0,2014.0,2.0,14824.120603015075,1
4607,5500000.0,372.0,4.0,2.38,10119.0,2013.0,1.0,14784.94623655914,2
1251,1550000.0,105.0,2.0,3.57,10243.0,2014.0,5.0,14761.90476190476,1
3877,3500000.0,238.0,5.0,3.75,10557.0,2021.0,5.0,14705.882352941177,2
2022,618000.0,42.2,2.0,3.57,10117.0,2018.0,2.0,14644.549763033174,0
376,1400000.0,95.66,2.0,3.57,10777.0,1956.0,1.0,14635.166213673429,1
2037,2390000.0,164.1,3.0,3.57,14050.0,2017.0,3.0,14564.290067032298,1
4797,1671018.0,115.0,3.0,3.57,10781.0,1956.0,1.0,14530.591304347829,1
117,4390000.0,302.58,5.0,3.57,10777.0,1956.0,1.0,14508.55971974354,2
3933,1850000.0,127.58,4.0,3.57,10709.0,2020.0,2.0,14500.705439724095,1
897,1850000.0,127.58,4.0,3.57,10709.0,2020.0,2.0,14500.705439724095,1
4573,1106930.0,76.34,3.0,3.57,14195.0,1913.0,1.0,14500.0,1
4682,1535260.0,105.88,4.0,3.57,10119.0,1900.0,5.0,14500.0,1
4885,1280350.0,88.3,4.0,3.57,10178.0,1956.0,1.0,14500.0,1
4572,968745.0,66.81,3.0,3.57,14195.0,1913.0,1.0,14500.0,1
2579,1428830.0,98.54,3.0,3.57,10997.0,2022.0,1.0,14499.999999999998,1
375,2990000.0,206.92,3.0,3.57,10777.0,1956.0,1.0,14450.028996713709,1
4771,1499000.0,104.0,3.0,3.57,14197.0,2022.0,1.0,14413.46153846154,1
1391,2970000.0,206.14,4.0,3.57,10623.0,1897.0,5.0,14407.6840981857,1
643,2980000.0,206.97,4.0,3.57,10623.0,1897.0,5.0,14398.221964535924,1
3707,1029000.0,71.77,2.0,3.57,10119.0,1862.0,2.0,14337.466908178903,1
2577,1624766.0,113.62,4.0,3.57,10997.0,2022.0,1.0,14300.0,1
2069,1826000.0,127.96,4.0,3.57,10719.0,1956.0,1.0,14270.08440137543,1
3845,1685000.0,118.34,3.0,2.38,10623.0,2016.0,1.0,14238.634443129964,1
3961,1850000.0,131.0,5.0,3.57,10623.0,1915.0,1.0,14122.137404580151,1
4637,2400000.0,170.0,5.0,7.14,14195.0,2015.0,1.0,14117.64705882353,1
983,2995000.0,213.0,5.0,2.38,10439.0,2019.0,1.0,14061.032863849765,1
70,880040.0,62.86,2.0,3.57,10997.0,2022.0,1.0,14000.0,1
3127,3195000.0,229.0,5.0,3.57,10115.0,1888.0,1.0,13951.965065502183,2
24,890000.0,65.0,2.0,3.57,10405.0,1956.0,1.0,13692.307692307691,1
2251,890000.0,65.0,2.0,3.57,10405.0,1956.0,1.0,13692.307692307691,1
3250,1290000.0,95.0,2.0,3.57,10119.0,2020.0,1.0,13578.947368421052,1
2988,1900000.0,140.0,4.0,3.57,14193.0,2015.0,1.0,13571.42857142857,1
3814,1900000.0,140.0,3.0,2.86,10115.0,2006.0,1.0,13571.42857142857,1
2798,1900000.0,140.0,4.0,3.57,14193.0,2015.0,1.0,13571.42857142857,1
760,1980000.0,145.96,3.0,3.57,10785.0,2003.0,1.0,13565.36037270485,1
2735,1980000.0,146.0,3.0,3.57,10785.0,2007.0,4.0,13561.643835616438,1
354,1980000.0,146.0,3.0,2.97,10785.0,2007.0,1.0,13561.643835616438,1
1804,2290000.0,170.0,4.0,3.57,10119.0,1956.0,1.0,13470.588235294115,1
2782,2990000.0,222.0,4.0,3.57,14059.0,2023.0,5.0,13468.468468468467,1
956,1595000.0,119.0,3.0,3.57,10119.0,2013.0,5.0,13403.361344537816,1
4362,1193672.0,89.08,3.0,3.57,10119.0,1900.0,5.0,13400.0,1
4415,1699995.0,127.1,2.0,3.57,10245.0,2010.0,8.0,13375.255704169946,1
3316,1690000.0,127.2,2.0,3.57,10245.0,2010.0,8.0,13286.16352201258,1
3878,3690000.0,278.0,8.0,3.57,10629.0,1906.0,1.0,13273.381294964029,2
2802,1750000.0,132.45,3.0,3.57,10629.0,2017.0,5.0,13212.53303133258,1
4574,1114344.0,84.42,3.0,3.57,14195.0,1913.0,2.0,13200.0,1
4575,1233540.0,93.45,3.0,3.57,14195.0,1913.0,2.0,13200.0,1
3270,1795000.0,136.0,3.0,3.57,14197.0,2022.0,1.0,13198.529411764706,1
4841,1768000.0,134.0,3.0,3.57,10963.0,1956.0,5.0,13194.029850746268,1
2609,1465000.0,111.26,4.0,3.57,14193.0,2001.0,2.0,13167.355743303971,1
4458,1250000.0,95.0,3.0,3.57,10407.0,2009.0,1.0,13157.894736842103,1
1845,2460000.0,188.0,4.0,3.57,14193.0,1884.0,2.0,13085.106382978724,1
4757,2150000.0,164.81,4.0,3.57,10629.0,1908.0,1.0,13045.324919604393,1
1356,1590000.0,122.0,3.0,3.57,10405.0,1956.0,1.0,13032.7868852459,1
2250,1590000.0,122.0,3.0,3.57,10405.0,1956.0,1.0,13032.7868852459,1
578,570000.0,43.77,2.0,3.57,10963.0,2018.0,9.0,13022.618231665523,0
3051,799000.0,61.38,2.0,3.57,10709.0,2020.0,3.0,13017.269468882372,0
1042,983000.0,75.57,2.0,3.57,10243.0,2023.0,1.0,13007.807330951437,1
865,983000.0,75.57,2.0,5.0,10243.0,2022.0,5.0,13007.807330951437,1
1063,2611000.0,200.8,4.0,3.57,10243.0,2023.0,1.0,13002.988047808763,1
873,1390000.0,106.9,3.0,5.0,10243.0,2022.0,5.0,13002.806361085126,1
3208,2158000.0,166.0,5.0,3.57,12159.0,1910.0,5.0,13000.0,1
2784,1999000.0,154.0,3.0,3.57,14059.0,2022.0,1.0,12980.51948051948,1
3207,1700000.0,131.0,3.0,3.57,12159.0,1910.0,5.0,12977.09923664122,1
4312,1533280.0,118.4,3.0,3.57,10627.0,1901.0,1.0,12950.0,1
2896,1488991.0,114.98,4.0,3.57,10627.0,1901.0,5.0,12950.0,1
4311,1488991.0,114.98,3.0,3.57,10627.0,1901.0,1.0,12950.0,1
3601,1533280.0,118.4,4.0,3.57,10627.0,1901.0,1.0,12950.0,1
2608,1765000.0,136.34,5.0,3.57,14193.0,2001.0,2.0,12945.57723338712,1
3708,598000.0,46.2,2.0,3.57,10119.0,1862.0,1.0,12943.722943722943,0
3576,990000.0,77.24,2.0,3.57,10707.0,1911.0,1.0,12817.193164163647,1
3348,990000.0,77.24,2.0,3.57,10707.0,1911.0,1.0,12817.193164163647,1
4579,1403136.0,109.62,2.0,3.57,14195.0,1913.0,1.0,12800.0,1
4578,912640.0,71.3,2.0,3.57,14195.0,1913.0,1.0,12800.0,1
1394,2590000.0,202.4,6.0,3.57,10623.0,1897.0,4.0,12796.442687747036,1
4908,1430000.0,111.8,3.0,3.57,10245.0,2014.0,1.0,12790.697674418603,1
3113,2095500.0,165.0,5.0,3.57,10999.0,1956.0,1.0,12700.0,1
4577,1262253.0,99.39,3.0,3.57,14195.0,1913.0,1.0,12700.0,1
4576,1642110.0,129.3,3.0,3.57,14195.0,1913.0,1.0,12699.999999999998,1
2204,3750000.0,297.91,8.0,3.57,10961.0,1899.0,1.0,12587.694270081569,2
4074,3750000.0,297.92,8.0,3.57,10961.0,1899.0,6.0,12587.271750805585,2
4073,3750000.0,297.92,8.0,3.57,10961.0,1899.0,1.0,12587.271750805585,2
4400,3750000.0,297.92,8.0,3.57,10961.0,1899.0,6.0,12587.271750805585,2
2134,3750000.0,298.0,8.0,3.57,10961.0,1899.0,1.0,12583.892617449665,2
405,565000.0,45.0,2.0,3.57,10245.0,2019.0,2.0,12555.555555555557,0
2459,1750000.0,139.63,3.0,3.57,10963.0,2021.0,1.0,12533.123254314976,1
2783,1690000.0,135.0,3.0,3.57,14059.0,2023.0,1.0,12518.518518518518,1
3914,2100000.0,168.0,4.0,3.57,14193.0,2000.0,1.0,12500.0,1
2936,1837500.0,147.0,4.0,3.57,10999.0,1956.0,1.0,12500.0,1
2926,749000.0,60.0,2.0,3.57,10119.0,1890.0,5.0,12483.333333333334,0
4268,1600000.0,129.0,3.0,3.57,10999.0,1900.0,6.0,12403.100775193798,1
3059,969900.0,78.22,2.0,3.57,10965.0,1891.0,2.0,12399.642035285093,1
67,2499000.0,201.85,4.0,3.57,10245.0,1900.0,1.0,12380.480554867476,1
706,2995000.0,243.0,8.0,3.57,14193.0,1994.0,2.0,12325.102880658436,1
3377,1220000.0,99.0,3.0,3.57,10709.0,2020.0,1.0,12323.232323232323,1
102,1799000.0,146.5,3.0,3.57,14199.0,2022.0,1.0,12279.86348122867,1
2582,1350000.0,110.0,3.0,3.57,10435.0,1900.0,3.0,12272.727272727272,1
1396,2475000.0,201.81,5.0,3.57,10623.0,1897.0,1.0,12264.010703136611,1
2487,1290000.0,105.28,2.0,3.57,10245.0,1900.0,1.0,12253.039513677812,1
2837,890000.0,72.74,3.0,3.57,10405.0,1897.0,1.0,12235.358812207864,1
3107,2995000.0,245.0,5.0,3.57,10707.0,1907.0,1.0,12224.489795918367,1
2293,1254000.0,102.59,2.0,3.57,12555.0,2023.0,4.0,12223.413588069012,1
4580,1514264.0,124.12,3.0,3.57,14195.0,1913.0,1.0,12200.0,1
4068,4250000.0,350.0,8.0,3.57,10719.0,1956.0,1.0,12142.857142857143,2
1830,1590000.0,131.0,4.0,3.57,10629.0,1904.0,5.0,12137.404580152672,1
3339,1840000.0,152.0,2.0,3.57,10785.0,2006.0,7.0,12105.263157894737,1
4792,2300000.0,190.0,3.0,3.57,10785.0,1956.0,1.0,12105.263157894737,1
2687,3650000.0,302.42,9.0,3.57,10719.0,1900.0,4.0,12069.30758547715,2
2497,719000.0,59.63,2.0,3.57,10245.0,2019.0,6.0,12057.689082676505,0
2084,976920.0,81.41,3.0,3.57,10707.0,1977.0,5.0,12000.0,1
2604,1080000.0,90.0,3.0,3.0,10623.0,2019.0,3.0,12000.0,1
2081,1064640.0,88.72,3.0,3.57,10707.0,1977.0,5.0,12000.0,1
2088,1323000.0,110.25,3.0,3.57,10707.0,1977.0,1.0,12000.0,1
2082,1247280.0,103.94,3.0,3.57,10707.0,1977.0,5.0,12000.0,1
47,1001000.0,83.83,3.0,3.57,10719.0,1956.0,1.0,11940.832637480617,1
3490,847000.0,71.0,3.0,3.57,10785.0,2019.0,3.0,11929.577464788732,0
4909,3600000.0,302.0,6.0,3.57,10115.0,2014.0,1.0,11920.529801324505,2
1849,2890000.0,243.0,6.0,3.57,10719.0,1899.0,1.0,11893.004115226337,1
3827,1350000.0,113.74,3.0,3.57,10405.0,2012.0,3.0,11869.17531211535,1
861,2000000.0,169.0,3.0,3.57,10707.0,2014.0,2.0,11834.31952662722,1
2860,1348000.0,114.36,3.0,3.57,10117.0,2012.0,1.0,11787.338230150404,1
1355,1390000.0,118.0,4.0,3.57,10405.0,1956.0,1.0,11779.661016949152,1
56,1390000.0,118.0,4.0,3.57,10405.0,1956.0,1.0,11779.661016949152,1
3228,1390000.0,118.0,3.0,3.57,10117.0,2014.0,7.0,11779.661016949152,1
2615,929950.0,79.0,2.0,2.8,10245.0,2010.0,8.0,11771.518987341771,1
2665,1250000.0,106.41,2.0,3.57,10707.0,2015.0,1.0,11747.016257870502,1
131,629000.0,53.57,2.0,3.57,10317.0,2024.0,1.0,11741.64644390517,0
1846,1349000.0,115.0,3.0,3.57,14195.0,2019.0,1.0,11730.434782608696,1
2391,2490000.0,213.0,5.0,3.57,10711.0,1905.0,3.0,11690.140845070422,1
4041,850000.0,72.74,3.0,7.14,10707.0,1909.0,1.0,11685.455045367062,1
4246,845000.0,72.74,3.0,3.57,10435.0,1900.0,1.0,11616.717074511962,0
3672,2299900.0,198.4,6.0,3.57,10965.0,1891.0,1.0,11592.237903225809,1
1925,1400000.0,120.9,3.0,3.57,10245.0,2016.0,1.0,11579.818031430934,1
1381,555000.0,47.95,2.0,3.57,10787.0,2020.0,6.0,11574.556830031284,0
1217,1730000.0,150.0,3.0,3.57,10781.0,2021.0,1.0,11533.333333333334,1
4369,1590000.0,138.0,4.0,3.57,10437.0,1900.0,1.0,11521.739130434782,1
4446,1590000.0,138.0,4.0,3.57,10437.0,1900.0,1.0,11521.739130434782,1
4669,1520000.0,132.0,3.0,3.57,10117.0,1838.0,5.0,11515.151515151516,1
7,788000.0,68.56,2.0,3.57,10317.0,2024.0,1.0,11493.582263710618,0
2167,5500000.0,480.0,6.0,3.57,10969.0,2008.0,1.0,11458.333333333334,2
3683,1109900.0,96.91,3.0,3.57,10965.0,1891.0,3.0,11452.89443813848,1
2390,1700000.0,149.2,4.0,3.57,10777.0,1901.0,2.0,11394.101876675604,1
3510,1050000.0,92.16,3.0,3.57,10405.0,1887.0,3.0,11393.229166666668,1
4462,2988000.0,263.0,4.0,3.57,10999.0,2010.0,1.0,11361.216730038022,1
97,2864800.0,252.77,5.0,3.57,10557.0,2023.0,3.0,11333.623452150176,1
3142,2864800.0,252.77,5.0,3.57,10557.0,2023.0,3.0,11333.623452150176,1
1956,1575000.0,139.0,4.0,2.5,14109.0,1979.0,1.0,11330.93525179856,1
4702,1650000.0,146.07,5.0,3.57,10117.0,1838.0,5.0,11295.953994660094,1
955,670000.0,59.83,2.0,3.57,10783.0,2018.0,3.0,11198.395453785726,0
4285,1176000.0,105.1,3.0,3.57,12059.0,1900.0,5.0,11189.343482397717,1
4779,1384000.0,124.0,5.0,3.57,10823.0,1956.0,1.0,11161.290322580646,1
1680,780000.0,70.0,2.0,3.57,10115.0,1900.0,2.0,11142.857142857143,0
66,1439000.0,129.17,3.0,3.57,10245.0,1900.0,1.0,11140.357668189208,1
1546,1300000.0,116.8,5.0,3.57,10711.0,1910.0,1.0,11130.13698630137,1
4586,1401223.0,126.1,3.0,3.57,10557.0,1900.0,1.0,11111.998413957175,1
3291,2700000.0,243.0,5.0,3.57,10717.0,1900.0,1.0,11111.111111111111,1
1877,1200000.0,108.0,3.0,2.97,10115.0,1900.0,2.0,11111.111111111111,1
4824,955100.0,86.0,3.0,3.57,10777.0,1956.0,1.0,11105.813953488372,1
2372,720000.0,65.0,2.0,3.57,10785.0,2008.0,1.0,11076.923076923076,0
3519,2250000.0,204.0,3.0,3.57,10717.0,1900.0,1.0,11029.411764705885,1
2472,499000.0,45.26,2.0,3.57,10439.0,1956.0,2.0,11025.187803800263,0
1881,599000.0,54.34,2.0,3.57,10245.0,2019.0,6.0,11023.187338976812,0
674,1950000.0,177.0,5.0,3.57,10115.0,1890.0,2.0,11016.949152542373,1
1053,877000.0,79.66,3.0,3.57,10243.0,2022.0,5.0,11009.289480291238,1
875,1234000.0,112.11,4.0,5.0,10243.0,2022.0,5.0,11007.046650611008,1
886,909900.0,82.71,3.0,5.0,10243.0,2022.0,5.0,11001.088139281828,1
4395,1617000.0,147.0,4.0,3.57,10823.0,1900.0,5.0,11000.0,1
2433,1995000.0,182.0,4.0,3.57,10439.0,2022.0,5.0,10961.53846153846,1
4432,995000.0,91.0,3.0,3.57,10117.0,2013.0,5.0,10934.065934065937,1
146,1880000.0,172.0,3.0,3.57,14057.0,1900.0,1.0,10930.232558139534,1
2819,544900.0,50.04,2.0,3.57,10623.0,1956.0,1.0,10889.288569144685,0
3649,1675000.0,154.0,5.0,3.57,10437.0,1858.0,1.0,10876.623376623376,1
